region,date,day,month,year,temp_c,rel_humidity_percent,wind_speed_kmh,rainfall_mm,ffmc,dmc,dc,isi,bui,fwi,classes
Bejala,2012-06-01,01,06,2012,29.0,57.0,18.0,0.0,65.7,3.4,7.6,1.3,3.4,0.5,not fire
Bejala,2012-06-02,02,06,2012,29.0,61.0,13.0,1.3,64.4,4.1,7.6,1,3.9,0.4,not fire
Bejala,2012-06-03,03,06,2012,26.0,82.0,22.0,13.1,47.1,2.5,7.1,0.3,2.7,0.1,not fire
Bejala,2012-06-04,04,06,2012,25.0,89.0,13.0,2.5,28.6,1.3,6.9,0,1.7,0,not fire
Bejala,2012-06-05,05,06,2012,27.0,77.0,16.0,0.0,64.8,3,14.2,1.2,3.9,0.5,not fire
Bejala,2012-06-06,06,06,2012,31.0,67.0,14.0,0.0,82.6,5.8,22.2,3.1,7,2.5,fire
Bejala,2012-06-07,07,06,2012,33.0,54.0,13.0,0.0,88.2,9.9,30.5,6.4,10.9,7.2,fire
Bejala,2012-06-08,08,06,2012,30.0,73.0,15.0,0.0,86.6,12.1,38.3,5.6,13.5,7.1,fire
Bejala,2012-06-09,09,06,2012,25.0,88.0,13.0,0.2,52.9,7.9,38.8,0.4,10.5,0.3,not fire
Bejala,2012-06-10,10,06,2012,28.0,79.0,12.0,0.0,73.2,9.5,46.3,1.3,12.6,0.9,not fire
Bejala,2012-06-11,11,06,2012,31.0,65.0,14.0,0.0,84.5,12.5,54.3,4,15.8,5.6,fire
Bejala,2012-06-12,12,06,2012,26.0,81.0,19.0,0.0,84,13.8,61.4,4.8,17.7,7.1,fire
Bejala,2012-06-13,13,06,2012,27.0,84.0,21.0,1.2,50,6.7,17,0.5,6.7,0.2,not fire
Bejala,2012-06-14,14,06,2012,30.0,78.0,20.0,0.5,59,4.6,7.8,1,4.4,0.4,not fire
Bejala,2012-06-15,15,06,2012,28.0,80.0,17.0,3.1,49.4,3,7.4,0.4,3,0.1,not fire
Bejala,2012-06-16,16,06,2012,29.0,89.0,13.0,0.7,36.1,1.7,7.6,0,2.2,0,not fire
Bejala,2012-06-17,17,06,2012,30.0,89.0,16.0,0.6,37.3,1.1,7.8,0,1.6,0,not fire
Bejala,2012-06-18,18,06,2012,31.0,78.0,14.0,0.3,56.9,1.9,8,0.7,2.4,0.2,not fire
Bejala,2012-06-19,19,06,2012,31.0,55.0,16.0,0.1,79.9,4.5,16,2.5,5.3,1.4,not fire
Bejala,2012-06-20,20,06,2012,30.0,80.0,16.0,0.4,59.8,3.4,27.1,0.9,5.1,0.4,not fire
Bejala,2012-06-21,21,06,2012,30.0,78.0,14.0,0.0,81,6.3,31.6,2.6,8.4,2.2,fire
Bejala,2012-06-22,22,06,2012,31.0,67.0,17.0,0.1,79.1,7,39.5,2.4,9.7,2.3,not fire
Bejala,2012-06-23,23,06,2012,32.0,62.0,18.0,0.1,81.4,8.2,47.7,3.3,11.5,3.8,fire
Bejala,2012-06-24,24,06,2012,32.0,66.0,17.0,0.0,85.9,11.2,55.8,5.6,14.9,7.5,fire
Bejala,2012-06-25,25,06,2012,31.0,64.0,15.0,0.0,86.7,14.2,63.8,5.7,18.3,8.4,fire
Bejala,2012-06-26,26,06,2012,31.0,64.0,18.0,0.0,86.8,17.8,71.8,6.7,21.6,10.6,fire
Bejala,2012-06-27,27,06,2012,34.0,53.0,18.0,0.0,89,21.6,80.3,9.2,25.8,15,fire
Bejala,2012-06-28,28,06,2012,32.0,55.0,14.0,0.0,89.1,25.5,88.5,7.6,29.7,13.9,fire
Bejala,2012-06-29,29,06,2012,32.0,47.0,13.0,0.3,79.9,18.4,84.4,2.2,23.8,3.9,not fire
Bejala,2012-06-30,30,06,2012,33.0,50.0,14.0,0.0,88.7,22.9,92.8,7.2,28.3,12.9,fire
Bejala,2012-07-01,01,07,2012,29.0,68.0,19.0,1.0,59.9,2.5,8.6,1.1,2.9,0.4,not fire
Bejala,2012-07-02,02,07,2012,27.0,75.0,19.0,1.2,55.7,2.4,8.3,0.8,2.8,0.3,not fire
Bejala,2012-07-03,03,07,2012,32.0,76.0,20.0,0.7,63.1,2.6,9.2,1.3,3,0.5,not fire
Bejala,2012-07-04,04,07,2012,33.0,78.0,17.0,0.0,80.1,4.6,18.5,2.7,5.7,1.7,not fire
Bejala,2012-07-05,05,07,2012,33.0,66.0,14.0,0.0,85.9,7.6,27.9,4.8,9.1,4.9,fire
Bejala,2012-07-06,06,07,2012,32.0,63.0,14.0,0.0,87,10.9,37,5.6,12.5,6.8,fire
Bejala,2012-07-07,07,07,2012,35.0,64.0,18.0,0.2,80,9.7,40.4,2.8,12.1,3.2,not fire
Bejala,2012-07-08,08,07,2012,33.0,68.0,19.0,0.0,85.6,12.5,49.8,6,15.4,8,fire
